timestamp,session_id,total_games,games_won,games_lost,win_rate_percent,max_score,max_tile,total_moves,avg_moves_per_game,avg_ai_latency,avg_game_time,total_ai_suggestions,games_2,games_8,games_32,games_128,games_512,games_1024,games_2048,command_args
2025-09-02 22:56:44,20250902_225644_batch47,5,5,0,100.0,20856,2048,4835,967.0,0.068,65.99,4835,0,0,0,0,0,0,5,"batch=47, games_in_batch=5"
2025-09-02 22:57:54,20250902_225754_batch48,5,5,0,100.0,20320,2048,4758,951.6,0.068,64.56,4758,0,0,0,0,0,0,5,"batch=48, games_in_batch=5"
2025-09-02 22:59:04,20250902_225904_batch49,5,5,0,100.0,20632,2048,4806,961.2,0.068,65.19,4806,0,0,0,0,0,0,5,"batch=49, games_in_batch=5"
2025-09-02 23:00:17,20250902_230017_batch50,5,5,0,100.0,20212,2048,4740,948.0,0.07,66.05,4740,0,0,0,0,0,0,5,"batch=50, games_in_batch=5"
2025-09-02 23:01:26,20250902_230126_batch51,5,3,2,60.0,21024,2048,4898,979.6,0.065,63.6,4898,0,0,0,0,0,2,3,"batch=51, games_in_batch=5"
2025-09-02 23:02:39,20250902_230239_batch52,5,5,0,100.0,20212,2048,4723,944.6,0.068,64.35,4723,0,0,0,0,0,0,5,"batch=52, games_in_batch=5"
2025-09-02 23:03:45,20250902_230345_batch53,5,4,1,80.0,20236,2048,4486,897.2,0.065,58.78,4486,0,0,0,0,0,1,4,"batch=53, games_in_batch=5"
2025-09-02 23:04:56,20250902_230456_batch54,5,5,0,100.0,20480,2048,4753,950.6,0.07,66.83,4753,0,0,0,0,0,0,5,"batch=54, games_in_batch=5"
2025-09-02 23:06:08,20250902_230608_batch55,5,4,1,80.0,20360,2048,4609,921.8,0.071,65.83,4609,0,0,0,0,0,1,4,"batch=55, games_in_batch=5"
2025-09-02 23:07:21,20250902_230721_batch56,5,5,0,100.0,20804,2048,4804,960.8,0.072,69.64,4804,0,0,0,0,0,0,5,"batch=56, games_in_batch=5"
2025-09-02 23:08:34,20250902_230834_batch57,5,5,0,100.0,21040,2048,4860,972.0,0.068,66.34,4860,0,0,0,0,0,0,5,"batch=57, games_in_batch=5"
2025-09-02 23:09:53,20250902_230953_batch58,5,5,0,100.0,20236,2048,4741,948.2,0.074,70.2,4741,0,0,0,0,0,0,5,"batch=58, games_in_batch=5"
2025-09-02 23:11:02,20250902_231102_batch59,5,5,0,100.0,20472,2048,4768,953.6,0.07,66.59,4768,0,0,0,0,0,0,5,"batch=59, games_in_batch=5"
2025-09-02 23:12:13,20250902_231213_batch60,5,4,1,80.0,20304,2048,4764,952.8,0.07,66.42,4764,0,0,0,0,0,1,4,"batch=60, games_in_batch=5"
2025-09-02 23:13:24,20250902_231324_batch61,5,5,0,100.0,20320,2048,4757,951.4,0.071,67.4,4757,0,0,0,0,0,0,5,"batch=61, games_in_batch=5"
2025-09-02 23:14:33,20250902_231433_batch62,5,5,0,100.0,20800,2048,4810,962.0,0.067,64.4,4810,0,0,0,0,0,0,5,"batch=62, games_in_batch=5"
2025-09-02 23:15:42,20250902_231542_batch63,5,5,0,100.0,20944,2048,4753,950.6,0.066,62.6,4753,0,0,0,0,0,0,5,"batch=63, games_in_batch=5"
2025-09-02 23:16:56,20250902_231656_batch64,5,4,1,80.0,20416,2048,4582,916.4,0.072,66.05,4582,0,0,0,0,0,1,4,"batch=64, games_in_batch=5"
2025-09-02 23:18:06,20250902_231806_batch65,5,5,0,100.0,20632,2048,4903,980.6,0.066,64.94,4903,0,0,0,0,0,0,5,"batch=65, games_in_batch=5"
2025-09-02 23:19:15,20250902_231915_batch66,5,4,1,80.0,20652,2048,4781,956.2,0.065,62.6,4781,0,0,0,0,0,1,4,"batch=66, games_in_batch=5"
2025-09-02 23:20:25,20250902_232025_batch67,5,5,0,100.0,20552,2048,4834,966.8,0.066,63.87,4834,0,0,0,0,0,0,5,"batch=67, games_in_batch=5"
2025-09-02 23:21:32,20250902_232132_batch68,5,5,0,100.0,20628,2048,4843,968.6,0.066,63.75,4843,0,0,0,0,0,0,5,"batch=68, games_in_batch=5"
2025-09-02 23:22:45,20250902_232245_batch69,5,4,1,80.0,20232,2048,4846,969.2,0.073,70.89,4846,0,0,0,0,0,1,4,"batch=69, games_in_batch=5"
2025-09-02 23:23:59,20250902_232359_batch70,5,5,0,100.0,20308,2048,4819,963.8,0.072,69.71,4819,0,0,0,0,0,0,5,"batch=70, games_in_batch=5"
2025-09-02 23:25:12,20250902_232512_batch71,5,5,0,100.0,20688,2048,4780,956.0,0.072,68.87,4780,0,0,0,0,0,0,5,"batch=71, games_in_batch=5"
2025-09-02 23:26:24,20250902_232624_batch72,5,5,0,100.0,20760,2048,4837,967.4,0.069,66.72,4837,0,0,0,0,0,0,5,"batch=72, games_in_batch=5"
2025-09-02 23:27:38,20250902_232738_batch73,5,5,0,100.0,21080,2048,4905,981.0,0.071,69.81,4905,0,0,0,0,0,0,5,"batch=73, games_in_batch=5"
2025-09-02 23:28:52,20250902_232852_batch74,5,5,0,100.0,20368,2048,4732,946.4,0.073,69.32,4732,0,0,0,0,0,0,5,"batch=74, games_in_batch=5"
2025-09-02 23:30:02,20250902_233002_batch75,5,5,0,100.0,20996,2048,4798,959.6,0.07,67.12,4798,0,0,0,0,0,0,5,"batch=75, games_in_batch=5"
2025-09-02 23:31:14,20250902_233114_batch76,5,4,1,80.0,20572,2048,4773,954.6,0.068,65.41,4773,0,0,0,0,0,1,4,"batch=76, games_in_batch=5"
2025-09-02 23:32:28,20250902_233228_batch77,5,5,0,100.0,20740,2048,4805,961.0,0.071,68.64,4805,0,0,0,0,0,0,5,"batch=77, games_in_batch=5"
2025-09-02 23:33:47,20250902_233347_batch78,5,5,0,100.0,20188,2048,4706,941.2,0.079,74.7,4706,0,0,0,0,0,0,5,"batch=78, games_in_batch=5"
2025-09-02 23:34:58,20250902_233458_batch79,5,5,0,100.0,20748,2048,4741,948.2,0.067,63.66,4741,0,0,0,0,0,0,5,"batch=79, games_in_batch=5"
2025-09-02 23:36:08,20250902_233608_batch80,5,5,0,100.0,20532,2048,4798,959.6,0.066,63.62,4798,0,0,0,0,0,0,5,"batch=80, games_in_batch=5"
2025-09-02 23:37:18,20250902_233718_batch81,5,5,0,100.0,20172,2048,4690,938.0,0.069,64.93,4690,0,0,0,0,0,0,5,"batch=81, games_in_batch=5"
2025-09-02 23:38:32,20250902_233832_batch82,5,5,0,100.0,20216,2048,4733,946.6,0.071,67.0,4733,0,0,0,0,0,0,5,"batch=82, games_in_batch=5"
2025-09-02 23:39:42,20250902_233942_batch83,5,5,0,100.0,20204,2048,4734,946.8,0.068,64.45,4734,0,0,0,0,0,0,5,"batch=83, games_in_batch=5"
2025-09-02 23:40:53,20250902_234053_batch84,5,5,0,100.0,20436,2048,4767,953.4,0.067,64.3,4767,0,0,0,0,0,0,5,"batch=84, games_in_batch=5"
2025-09-02 23:42:07,20250902_234207_batch85,5,4,1,80.0,21424,2048,4853,970.6,0.07,67.78,4853,0,0,0,0,0,1,4,"batch=85, games_in_batch=5"
2025-09-02 23:43:21,20250902_234321_batch86,5,5,0,100.0,20984,2048,4838,967.6,0.069,66.87,4838,0,0,0,0,0,0,5,"batch=86, games_in_batch=5"
2025-09-02 23:44:38,20250902_234438_batch87,5,5,0,100.0,21220,2048,4853,970.6,0.073,70.8,4853,0,0,0,0,0,0,5,"batch=87, games_in_batch=5"
2025-09-02 23:45:54,20250902_234554_batch88,5,4,1,80.0,20916,2048,4884,976.8,0.072,70.52,4884,0,0,0,0,0,1,4,"batch=88, games_in_batch=5"
